time;model_id;model_name;port_name;data
0;251;887612;;2252754, 0, 0, 0, 0.00
0;252;887611;;2252753, 0, 0, 0, 0.00
0;253;887609;;2252751, 0, 0, 0, 0.00
0;254;887607;;2252749, 0, 0, 0, 0.00
0;255;887605;;2252747, 0, 0, 0, 0.00
0;256;883921;;2240730, 0, 0, 0, 0.00
0;257;883928;;2240737, 0, 0, 0, 0.00
0;258;892851;;2269749, 0, 0, 0, 0.00
0;259;883621;;2239734, 0, 0, 0, 0.00
0;260;882723;;2236745, 0, 0, 0, 0.00
0;261;883336;;2238752, 0, 0, 0, 0.00
0;262;888207;;2254734, 0, 0, 0, 0.00
0;263;885466;;2245752, 0, 0, 0, 0.00
0;264;883335;;2238751, 0, 0, 0, 0.00
0;265;890368;;2261753, 0, 0, 0, 0.00
0;266;883334;;2238750, 0, 0, 0, 0.00
0;267;886978;;2250734, 0, 0, 0, 0.00
0;268;883329;;2238745, 0, 0, 0, 0.00
0;269;892530;;2268740, 0, 0, 0, 0.00
0;270;883620;;2239733, 0, 0, 0, 0.00
0;271;890048;;2260743, 0, 0, 0, 0.00
0;272;889151;;2257753, 0, 0, 0, 0.00
0;273;883326;;2238742, 0, 0, 0, 0.00
0;274;883630;;2239743, 0, 0, 0, 0.00
0;275;891901;;2266734, 0, 0, 0, 0.00
0;276;883622;;2239735, 0, 0, 0, 0.00
0;277;883319;;2238735, 0, 0, 0, 0.00
0;278;880903;;2230740, 0, 0, 0, 0.00
0;279;884853;;2243749, 0, 0, 0, 0.00
0;280;883316;;2238732, 0, 0, 0, 0.00
0;281;881203;;2231739, 0, 0, 0, 0.00
0;282;884543;;2242744, 0, 0, 0, 0.00
0;283;883030;;2237749, 0, 0, 0, 0.00
0;284;891603;;2265747, 0, 0, 0, 0.00
0;285;883025;;2237744, 0, 0, 0, 0.00
0;286;883016;;2237735, 0, 0, 0, 0.00
0;287;892534;;2268744, 0, 0, 0, 0.00
0;288;671774;;70989, 0, 0, 0, 0.00
0;289;883011;;2237730, 0, 0, 0, 0.00
0;290;890675;;2262750, 0, 0, 0, 0.00
0;291;882724;;2236746, 0, 0, 0, 0.00
0;292;882729;;2236751, 0, 0, 0, 0.00
0;293;890669;;2262744, 0, 0, 0, 0.00
0;294;881506;;2232741, 0, 0, 0, 0.00
0;295;886992;;2250748, 0, 0, 0, 0.00
0;296;883015;;2237734, 0, 0, 0, 0.00
0;297;883331;;2238747, 0, 0, 0, 0.00
0;298;890966;;2263731, 0, 0, 0, 0.00
0;299;889439;;2258752, 0, 0, 0, 0.00
0;300;882722;;2236744, 0, 0, 0, 0.00
0;301;882721;;2236743, 0, 0, 0, 0.00
0;302;890971;;2263736, 0, 0, 0, 0.00
0;303;889145;;2257747, 0, 0, 0, 0.00
0;304;885755;;2246736, 0, 0, 0, 0.00
0;305;882719;;2236741, 0, 0, 0, 0.00
0;306;889749;;2259753, 0, 0, 0, 0.00
0;307;883323;;2238739, 0, 0, 0, 0.00
0;308;883624;;2239737, 0, 0, 0, 0.00
0;309;891284;;2264739, 0, 0, 0, 0.00
0;310;890975;;2263740, 0, 0, 0, 0.00
0;311;882709;;2236731, 0, 0, 0, 0.00
0;312;885455;;2245741, 0, 0, 0, 0.00
0;313;882426;;2235751, 0, 0, 0, 0.00
0;314;888226;;2254753, 0, 0, 0, 0.00
0;315;882425;;2235750, 0, 0, 0, 0.00
0;316;883325;;2238741, 0, 0, 0, 0.00
0;317;890046;;2260741, 0, 0, 0, 0.00
0;318;882421;;2235746, 0, 0, 0, 0.00
0;319;887294;;2251742, 0, 0, 0, 0.00
0;320;882420;;2235745, 0, 0, 0, 0.00
0;321;671690;;70368, 0, 0, 0, 0.00
0;322;883929;;2240738, 0, 0, 0, 0.00
0;323;889433;;2258746, 0, 0, 0, 0.00
0;324;882417;;2235742, 0, 0, 0, 0.00
